epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,582.017,0.48374,0.30619,0.90901,0.98243,1,0.995,0.91622,0.38388,0.21623,0.87618,0.000187092,0.000187092,0.000187092
86,588.831,0.48504,0.29953,0.89665,0.9825,1,0.995,0.90772,0.37403,0.21876,0.8785,0.000176094,0.000176094,0.000176094
87,595.674,0.45336,0.28139,0.8867,0.98282,1,0.995,0.91222,0.38486,0.22358,0.88108,0.000165095,0.000165095,0.000165095
88,602.458,0.45643,0.27996,0.88783,0.98337,1,0.995,0.90893,0.38819,0.22143,0.88064,0.000154096,0.000154096,0.000154096
89,609.27,0.46694,0.29293,0.89332,0.98416,1,0.995,0.90844,0.3912,0.21636,0.88639,0.000143097,0.000143097,0.000143097
90,616.022,0.45789,0.28264,0.88387,0.98235,1,0.995,0.91506,0.37922,0.20908,0.87873,0.000132098,0.000132098,0.000132098
91,637.211,0.46446,0.27876,0.92115,0.98165,1,0.995,0.91527,0.39782,0.21163,0.88094,0.000121099,0.000121099,0.000121099
92,643.929,0.41941,0.25944,0.88994,0.98437,1,0.995,0.91194,0.39963,0.21173,0.88112,0.0001101,0.0001101,0.0001101
93,650.646,0.42755,0.2631,0.90325,0.98331,1,0.995,0.95884,0.37207,0.20977,0.87687,9.91012e-05,9.91012e-05,9.91012e-05
94,657.456,0.4286,0.25317,0.88598,0.98317,1,0.995,0.91515,0.35867,0.20869,0.87073,8.81023e-05,8.81023e-05,8.81023e-05
95,664.21,0.41744,0.24605,0.88377,0.98323,1,0.995,0.96461,0.36994,0.20861,0.87258,7.71034e-05,7.71034e-05,7.71034e-05
96,670.996,0.43561,0.26472,0.91515,0.98293,1,0.995,0.96573,0.3624,0.20503,0.87104,6.61045e-05,6.61045e-05,6.61045e-05
97,677.755,0.42556,0.25319,0.90415,0.98318,1,0.995,0.91431,0.38424,0.2051,0.88064,5.51056e-05,5.51056e-05,5.51056e-05
98,684.471,0.41822,0.25395,0.8975,0.98319,1,0.995,0.91576,0.37332,0.21069,0.87225,4.41067e-05,4.41067e-05,4.41067e-05
99,691.249,0.41439,0.24671,0.8922,0.98283,1,0.995,0.91576,0.36918,0.19741,0.87228,3.31078e-05,3.31078e-05,3.31078e-05
100,698.003,0.40445,0.24465,0.88543,0.9832,1,0.995,0.91425,0.36975,0.19882,0.87407,2.21089e-05,2.21089e-05,2.21089e-05
